event_id,event_date,measure,pre_mean,post_mean,delta,pre_sd,post_sd,n_pre,n_post,welch_t,dropped
mica_full,2024-12-30,C_pca,0.5719478576737986,0.7846822952280427,0.21273443755424404,0.0957154998790319,0.03793181676436035,30,31,11.342078239792208,asset=BTC
btc_etf_approval,2024-01-10,C_pairwise,0.5915266275298093,0.6869669584269215,0.09544033089711212,0.05947878622381121,0.039843164236149836,30,31,7.338673316554697,asset=ETH
btc_etf_approval,2024-01-10,C_pca,0.608402442535557,0.6966335641821132,0.08823112164655622,0.05350918685337697,0.03761036714246326,30,31,7.428519837168207,asset=ETH
btc_etf_launch,2024-01-11,C_pairwise,0.5933200260398996,0.6857244232431015,0.09240439720320182,0.060596543046612876,0.04142647023603671,30,31,6.9307194098006,asset=ETH
btc_etf_launch,2024-01-11,C_pca,0.610223718971785,0.695657677390077,0.08543395841829204,0.05459735776711857,0.03875708628412307,30,31,7.026959588061375,asset=ETH
eth_rule_approval,2024-05-23,C_pairwise,0.7688695908439662,0.7262186047608679,-0.04265098608309836,0.03642754744200739,0.02339755880973571,30,31,-5.421415626933992,asset=ETH
eth_rule_approval,2024-05-23,C_pca,0.7761015661947369,0.7357964322935527,-0.040305133901184176,0.03513838203069483,0.024255034382845344,30,31,-5.197548161051681,asset=ETH
eth_etf_launch,2024-07-23,C_pairwise,0.7216375260360048,0.7529255250101011,0.03128799897409629,0.04016912454895749,0.018085079892071775,30,31,3.900775732730449,asset=ETH
eth_etf_launch,2024-07-23,C_pca,0.7286547201775022,0.7687045823579041,0.04004986218040185,0.0389827743323813,0.021004442482580096,30,31,4.971895751450881,asset=ETH
mica_stablecoin,2024-06-30,C_pairwise,0.7166677331147928,0.7379788538306947,0.02131112071590191,0.03366282369573135,0.02814305076771435,30,31,2.678108128679291,asset=ETH
mica_stablecoin,2024-06-30,C_pca,0.7266406586931444,0.7457470337746617,0.019106375081517246,0.03461999229106904,0.02742045819622871,30,31,2.384467951069245,asset=ETH
mica_full,2024-12-30,C_pairwise,0.5551204441147332,0.7588400647182972,0.20371962060356408,0.09714161810048494,0.03672715808375653,30,31,10.765981434790014,asset=ETH
mica_full,2024-12-30,C_pca,0.5677110194570807,0.7675899345623883,0.19987891510530764,0.09359868599381896,0.03343607094504773,30,31,11.034997100185818,asset=ETH
btc_etf_approval,2024-01-10,C_pairwise,0.6083668564175114,0.7086509901842087,0.10028413376669731,0.05405879219974046,0.033286479501045484,30,31,8.690727740181023,asset=SOL
btc_etf_approval,2024-01-10,C_pca,0.627023881163426,0.717409468015787,0.09038558685236098,0.04750532119605884,0.0313021222474837,30,31,8.74475694751691,asset=SOL
btc_etf_launch,2024-01-11,C_pairwise,0.6110852906295208,0.7065748027075779,0.09548951207805711,0.05567694636694575,0.03681918703028695,30,31,7.874195980429149,asset=SOL
btc_etf_launch,2024-01-11,C_pca,0.6298711203414467,0.715481148392956,0.0856100280515093,0.049075012590644694,0.03430543853510254,30,31,7.87297660813054,asset=SOL
eth_rule_approval,2024-05-23,C_pairwise,0.7660415274284595,0.7220677469881598,-0.04397378044029976,0.038909101924700824,0.02296854065777686,30,31,-5.353039553246442,asset=SOL
